1;Pollution;Inondation;Boom;Travail;Retombée;;;;;;;;;;
2;Richesse;Malédiction;Travail;Destruction;Histoire;Frein;Blocage;Coutumier;;;;;;;
4;Travail;Pollution;Plainte;;;;;;;;;;;;
5;Argent;Pollution;Nickel;Production;Nature;Réparation;Mer;Inégalité;;;;;;;
6;Extraction;Montagne;Pollution;Mineur;Train;Diversité;Évolution;;;;;;;;
7;Pollution;Nickel;Argent;Mer;Camion;;;;;;;;;;
8;Centre minier;Village;Économie;Production;Travail;Environnement;Revenu;;;;;;;;
9;Camion;Contracteur;Caillou;Terre rouge;Géologie;Laboratoire;Perle;Argent;Travail;Aide;;;;;
10;Emploi;Environnement;Pollution;Aide;Reboisement;Porte d’entrée;Inondation;;;;;;;;
11;Mine;Industrie;Terre;;;;;;;;;;;;
12;Mine;Commune minière;Pollution;Terre rouge;Destruction;Camion;Nickel;Usine;Industrialisation;Érosion;Travail;;;;
13;Mine;camion;Pollution;;;;;;;;;;;;
14;Économie;Travail;Exploitation;International;SLN;Nouvelle-Calédonie;Pollution;Terre;;;;;;;
15;Pollution;Travail;Camion;exploitation;Opportunité;;;;;;;;;;
16;Pollution;;;;;;;;;;;;;;
17;Industrie;Mine;Richesse;Patrimoine;Nouvelle-Calédonie;Ressource;;;;;;;;;
19;Économie;Destruction;Pollution;Évolution;Civilisation;Dépendance;Santé;;;;;;;;
20;Argent;Pollution;Emploi;Tradition;;;;;;;;;;;
21;Économie;Environnement;Pollution;Richesse;Problème;Revendication;Financement;;;;;;;;
22;Mine ;Économie ;Produit;Autonomie;Protection;Problème;Pays;Projet;;;;;;;
23;Argent;Économie;Revégétalisation;;;;;;;;;;;;
24;Argent;Danger;;;;;;;;;;;;;
25;Aide;Argent;Formation;;;;;;;;;;;;
26;Bénéfice;Économie;Minéralier;Main d’oeuvre;Enjeu;International;;;;;;;;;
27;Travail;Pollution;Blocage ;;;;;;;;;;;;
28;Usine du Sud;Conflit;Pollution;Projet;;;;;;;;;;;
29;Économie ;Ressource;Développement;Pollution;Environnement;Évolution ;;;;;;;;;
30;Emploi;Revenu;Environnement;Bien - Mal;;;;;;;;;;;
31;Mine;Bilan;Tribu;Argent;Environnement;Enfant;Dépendant;;;;;;;;
